source_entity_id,target_entity_id,relationship_type,confidence,created_at
proj-2,init-2,belongs_to,1.0,2025-01-03T19:24:00
person-21,proj-2,owns,1.0,2025-01-03T19:24:00
proj-3,init-3,belongs_to,1.0,2025-01-03T19:25:00
person-35,proj-3,owns,1.0,2025-01-03T19:25:00
proj-4,init-4,belongs_to,1.0,2025-01-03T19:26:00
person-37,proj-4,owns,1.0,2025-01-03T19:26:00
proj-5,init-5,belongs_to,1.0,2025-01-03T19:27:00
person-23,proj-5,owns,1.0,2025-01-03T19:27:00
proj-6,init-6,belongs_to,1.0,2025-01-03T19:28:00
person-35,proj-6,owns,1.0,2025-01-03T19:28:00
proj-7,init-7,belongs_to,1.0,2025-01-03T19:29:00
person-26,proj-7,owns,1.0,2025-01-03T19:29:00
proj-8,init-8,belongs_to,1.0,2025-01-03T19:30:00
person-10,proj-8,owns,1.0,2025-01-03T19:30:00
proj-9,init-9,belongs_to,1.0,2025-01-03T19:31:00
person-12,proj-9,owns,1.0,2025-01-03T19:31:00
proj-10,init-10,belongs_to,1.0,2025-01-03T19:32:00
person-12,proj-10,owns,1.0,2025-01-03T19:32:00
proj-11,init-11,belongs_to,1.0,2025-01-03T19:33:00
person-32,proj-11,owns,1.0,2025-01-03T19:33:00
proj-12,init-12,belongs_to,1.0,2025-01-03T19:34:00
person-16,proj-12,owns,1.0,2025-01-03T19:34:00
proj-13,init-13,belongs_to,1.0,2025-01-03T19:35:00
person-22,proj-13,owns,1.0,2025-01-03T19:35:00
proj-14,init-14,belongs_to,1.0,2025-01-03T19:36:00
person-16,proj-14,owns,1.0,2025-01-03T19:36:00
proj-15,init-0,belongs_to,1.0,2025-01-03T19:37:00
person-27,proj-15,owns,1.0,2025-01-03T19:37:00
proj-16,init-1,belongs_to,1.0,2025-01-03T19:38:00
person-32,proj-16,owns,1.0,2025-01-03T19:38:00
proj-17,init-2,belongs_to,1.0,2025-01-03T19:39:00
person-35,proj-17,owns,1.0,2025-01-03T19:39:00
proj-18,init-3,belongs_to,1.0,2025-01-03T19:40:00
person-25,proj-18,owns,1.0,2025-01-03T19:40:00
proj-19,init-4,belongs_to,1.0,2025-01-03T19:41:00
person-37,proj-19,owns,1.0,2025-01-03T19:41:00
proj-20,init-5,belongs_to,1.0,2025-01-03T19:42:00
person-13,proj-20,owns,1.0,2025-01-03T19:42:00
proj-21,init-6,belongs_to,1.0,2025-01-03T19:43:00
person-5,proj-21,owns,1.0,2025-01-03T19:43:00
proj-22,init-7,belongs_to,1.0,2025-01-03T19:44:00
person-1,proj-22,owns,1.0,2025-01-03T19:44:00
proj-23,init-8,belongs_to,1.0,2025-01-03T19:45:00
person-36,proj-23,owns,1.0,2025-01-03T19:45:00
proj-24,init-9,belongs_to,1.0,2025-01-03T19:46:00
person-9,proj-24,owns,1.0,2025-01-03T19:46:00
proj-25,init-10,belongs_to,1.0,2025-01-03T19:47:00
person-11,proj-25,owns,1.0,2025-01-03T19:47:00
proj-26,init-11,belongs_to,1.0,2025-01-03T19:48:00
person-29,proj-26,owns,1.0,2025-01-03T19:48:00
proj-27,init-12,belongs_to,1.0,2025-01-03T19:49:00
person-35,proj-27,owns,1.0,2025-01-03T19:49:00
proj-28,init-13,belongs_to,1.0,2025-01-03T19:50:00
person-17,proj-28,owns,1.0,2025-01-03T19:50:00
proj-29,init-14,belongs_to,1.0,2025-01-03T19:51:00
person-18,proj-29,owns,1.0,2025-01-03T19:51:00
proj-30,init-0,belongs_to,1.0,2025-01-03T19:52:00
person-9,proj-30,owns,1.0,2025-01-03T19:52:00
proj-31,init-1,belongs_to,1.0,2025-01-03T19:53:00
person-26,proj-31,owns,1.0,2025-01-03T19:53:00
proj-32,init-2,belongs_to,1.0,2025-01-03T19:54:00
person-26,proj-32,owns,1.0,2025-01-03T19:54:00
proj-33,init-3,belongs_to,1.0,2025-01-03T19:55:00
person-22,proj-33,owns,1.0,2025-01-03T19:55:00
proj-34,init-4,belongs_to,1.0,2025-01-03T19:56:00
person-17,proj-34,owns,1.0,2025-01-03T19:56:00
proj-35,init-5,belongs_to,1.0,2025-01-03T19:57:00
person-10,proj-35,owns,1.0,2025-01-03T19:57:00
proj-36,init-6,belongs_to,1.0,2025-01-03T19:58:00
person-5,proj-36,owns,1.0,2025-01-03T19:58:00
proj-37,init-7,belongs_to,1.0,2025-01-03T19:59:00
person-16,proj-37,owns,1.0,2025-01-03T19:59:00
proj-38,init-8,belongs_to,1.0,2025-01-03T20:00:00
person-24,proj-38,owns,1.0,2025-01-03T20:00:00
proj-39,init-9,belongs_to,1.0,2025-01-03T20:01:00
person-34,proj-39,owns,1.0,2025-01-03T20:01:00
proj-40,init-10,belongs_to,1.0,2025-01-03T20:02:00
person-15,proj-40,owns,1.0,2025-01-03T20:02:00
proj-41,init-11,belongs_to,1.0,2025-01-03T20:03:00
person-30,proj-41,owns,1.0,2025-01-03T20:03:00
proj-42,init-12,belongs_to,1.0,2025-01-03T20:04:00
person-23,proj-42,owns,1.0,2025-01-03T20:04:00
proj-43,init-13,belongs_to,1.0,2025-01-03T20:05:00
person-6,proj-43,owns,1.0,2025-01-03T20:05:00
task-0,proj-0,belongs_to,1.0,2025-01-04T12:02:00
task-1,proj-1,belongs_to,1.0,2025-01-04T12:03:00
task-2,proj-2,belongs_to,1.0,2025-01-04T12:04:00
task-3,proj-3,belongs_to,1.0,2025-01-04T12:05:00
task-4,proj-4,belongs_to,1.0,2025-01-04T12:06:00
task-5,proj-5,belongs_to,1.0,2025-01-04T12:07:00
task-6,proj-6,belongs_to,1.0,2025-01-04T12:08:00
task-7,proj-7,belongs_to,1.0,2025-01-04T12:09:00
task-8,proj-8,belongs_to,1.0,2025-01-04T12:10:00
task-9,proj-9,belongs_to,1.0,2025-01-04T12:11:00
task-10,proj-10,belongs_to,1.0,2025-01-04T12:12:00
task-11,proj-11,belongs_to,1.0,2025-01-04T12:13:00
task-12,proj-12,belongs_to,1.0,2025-01-04T12:14:00
task-13,proj-13,belongs_to,1.0,2025-01-04T12:15:00
task-14,proj-14,belongs_to,1.0,2025-01-04T12:16:00
task-15,proj-15,belongs_to,1.0,2025-01-04T12:17:00
task-16,proj-16,belongs_to,1.0,2025-01-04T12:18:00
task-17,proj-17,belongs_to,1.0,2025-01-04T12:19:00
task-18,proj-18,belongs_to,1.0,2025-01-04T12:20:00
task-19,proj-19,belongs_to,1.0,2025-01-04T12:21:00
task-20,proj-20,belongs_to,1.0,2025-01-04T12:22:00
task-21,proj-21,belongs_to,1.0,2025-01-04T12:23:00
task-22,proj-22,belongs_to,1.0,2025-01-04T12:24:00
task-23,proj-23,belongs_to,1.0,2025-01-04T12:25:00
task-24,proj-24,belongs_to,1.0,2025-01-04T12:26:00
task-25,proj-25,belongs_to,1.0,2025-01-04T12:27:00
task-26,proj-26,belongs_to,1.0,2025-01-04T12:28:00
task-27,proj-27,belongs_to,1.0,2025-01-04T12:29:00
task-28,proj-28,belongs_to,1.0,2025-01-04T12:30:00
task-29,proj-29,belongs_to,1.0,2025-01-04T12:31:00
task-30,proj-30,belongs_to,1.0,2025-01-04T12:32:00
task-31,proj-31,belongs_to,1.0,2025-01-04T12:33:00
task-32,proj-32,belongs_to,1.0,2025-01-04T12:34:00
task-33,proj-33,belongs_to,1.0,2025-01-04T12:35:00
task-34,proj-34,belongs_to,1.0,2025-01-04T12:36:00
task-35,proj-35,belongs_to,1.0,2025-01-04T12:37:00
task-36,proj-36,belongs_to,1.0,2025-01-04T12:38:00
task-37,proj-37,belongs_to,1.0,2025-01-04T12:39:00
task-38,proj-38,belongs_to,1.0,2025-01-04T12:40:00
task-39,proj-39,belongs_to,1.0,2025-01-04T12:41:00
task-40,proj-40,belongs_to,1.0,2025-01-04T12:42:00
task-41,proj-41,belongs_to,1.0,2025-01-04T12:43:00
task-42,proj-42,belongs_to,1.0,2025-01-04T12:44:00
task-43,proj-43,belongs_to,1.0,2025-01-04T12:45:00
task-44,proj-0,belongs_to,1.0,2025-01-04T12:46:00
task-45,proj-1,belongs_to,1.0,2025-01-04T12:47:00
task-46,proj-2,belongs_to,1.0,2025-01-04T12:48:00
task-47,proj-3,belongs_to,1.0,2025-01-04T12:49:00
task-48,proj-4,belongs_to,1.0,2025-01-04T12:50:00
task-49,proj-5,belongs_to,1.0,2025-01-04T12:51:00
task-50,proj-6,belongs_to,1.0,2025-01-04T12:52:00
task-51,proj-7,belongs_to,1.0,2025-01-04T12:53:00
task-52,proj-8,belongs_to,1.0,2025-01-04T12:54:00
task-53,proj-9,belongs_to,1.0,2025-01-04T12:55:00
task-54,proj-10,belongs_to,1.0,2025-01-04T12:56:00
task-55,proj-11,belongs_to,1.0,2025-01-04T12:57:00
task-56,proj-12,belongs_to,1.0,2025-01-04T12:58:00
task-57,proj-13,belongs_to,1.0,2025-01-04T12:59:00
task-58,proj-14,belongs_to,1.0,2025-01-04T13:00:00
task-59,proj-15,belongs_to,1.0,2025-01-04T13:01:00
task-60,proj-16,belongs_to,1.0,2025-01-04T13:02:00
task-61,proj-17,belongs_to,1.0,2025-01-04T13:03:00
task-62,proj-18,belongs_to,1.0,2025-01-04T13:04:00
task-63,proj-19,belongs_to,1.0,2025-01-04T13:05:00
task-64,proj-20,belongs_to,1.0,2025-01-04T13:06:00
task-65,proj-21,belongs_to,1.0,2025-01-04T13:07:00
task-66,proj-22,belongs_to,1.0,2025-01-04T13:08:00
task-67,proj-23,belongs_to,1.0,2025-01-04T13:09:00
task-68,proj-24,belongs_to,1.0,2025-01-04T13:10:00
task-69,proj-25,belongs_to,1.0,2025-01-04T13:11:00
task-70,proj-26,belongs_to,1.0,2025-01-04T13:12:00
task-71,proj-27,belongs_to,1.0,2025-01-04T13:13:00
task-72,proj-28,belongs_to,1.0,2025-01-04T13:14:00
task-73,proj-29,belongs_to,1.0,2025-01-04T13:15:00
task-74,proj-30,belongs_to,1.0,2025-01-04T13:16:00
task-75,proj-31,belongs_to,1.0,2025-01-04T13:17:00
task-76,proj-32,belongs_to,1.0,2025-01-04T13:18:00
task-77,proj-33,belongs_to,1.0,2025-01-04T13:19:00
task-78,proj-34,belongs_to,1.0,2025-01-04T13:20:00
task-79,proj-35,belongs_to,1.0,2025-01-04T13:21:00
task-80,proj-36,belongs_to,1.0,2025-01-04T13:22:00
task-81,proj-37,belongs_to,1.0,2025-01-04T13:23:00
task-82,proj-38,belongs_to,1.0,2025-01-04T13:24:00
task-83,proj-39,belongs_to,1.0,2025-01-04T13:25:00
task-84,proj-40,belongs_to,1.0,2025-01-04T13:26:00
task-85,proj-41,belongs_to,1.0,2025-01-04T13:27:00
task-86,proj-42,belongs_to,1.0,2025-01-04T13:28:00
task-87,proj-43,belongs_to,1.0,2025-01-04T13:29:00
task-88,proj-0,belongs_to,1.0,2025-01-04T13:30:00
task-89,proj-1,belongs_to,1.0,2025-01-04T13:31:00
task-90,proj-2,belongs_to,1.0,2025-01-04T13:32:00
task-91,proj-3,belongs_to,1.0,2025-01-04T13:33:00
task-92,proj-4,belongs_to,1.0,2025-01-04T13:34:00
task-93,proj-5,belongs_to,1.0,2025-01-04T13:35:00
task-94,proj-6,belongs_to,1.0,2025-01-04T13:36:00
task-95,proj-7,belongs_to,1.0,2025-01-04T13:37:00
task-96,proj-8,belongs_to,1.0,2025-01-04T13:38:00
task-97,proj-9,belongs_to,1.0,2025-01-04T13:39:00
task-98,proj-10,belongs_to,1.0,2025-01-04T13:40:00
task-99,proj-11,belongs_to,1.0,2025-01-04T13:41:00
task-100,proj-12,belongs_to,1.0,2025-01-04T13:42:00
task-101,proj-13,belongs_to,1.0,2025-01-04T13:43:00
task-102,proj-14,belongs_to,1.0,2025-01-04T13:44:00
task-103,proj-15,belongs_to,1.0,2025-01-04T13:45:00
task-104,proj-16,belongs_to,1.0,2025-01-04T13:46:00
task-105,proj-17,belongs_to,1.0,2025-01-04T13:47:00
task-106,proj-18,belongs_to,1.0,2025-01-04T13:48:00
task-107,proj-19,belongs_to,1.0,2025-01-04T13:49:00
task-108,proj-20,belongs_to,1.0,2025-01-04T13:50:00
task-109,proj-21,belongs_to,1.0,2025-01-04T13:51:00
task-110,proj-22,belongs_to,1.0,2025-01-04T13:52:00
task-111,proj-23,belongs_to,1.0,2025-01-04T13:53:00
task-112,proj-24,belongs_to,1.0,2025-01-04T13:54:00
task-113,proj-25,belongs_to,1.0,2025-01-04T13:55:00
task-114,proj-26,belongs_to,1.0,2025-01-04T13:56:00
task-115,proj-27,belongs_to,1.0,2025-01-04T13:57:00
task-116,proj-28,belongs_to,1.0,2025-01-04T13:58:00
task-117,proj-29,belongs_to,1.0,2025-01-04T13:59:00
task-118,proj-30,belongs_to,1.0,2025-01-04T14:00:00
task-119,proj-31,belongs_to,1.0,2025-01-04T14:01:00
task-120,proj-32,belongs_to,1.0,2025-01-04T14:02:00
task-121,proj-33,belongs_to,1.0,2025-01-04T14:03:00
task-122,proj-34,belongs_to,1.0,2025-01-04T14:04:00
task-123,proj-35,belongs_to,1.0,2025-01-04T14:05:00
task-124,proj-36,belongs_to,1.0,2025-01-04T14:06:00
task-125,proj-37,belongs_to,1.0,2025-01-04T14:07:00
task-126,proj-38,belongs_to,1.0,2025-01-04T14:08:00
task-127,proj-39,belongs_to,1.0,2025-01-04T14:09:00
task-128,proj-40,belongs_to,1.0,2025-01-04T14:10:00
task-129,proj-41,belongs_to,1.0,2025-01-04T14:11:00
task-130,proj-42,belongs_to,1.0,2025-01-04T14:12:00
task-131,proj-43,belongs_to,1.0,2025-01-04T14:13:00
task-132,proj-0,belongs_to,1.0,2025-01-04T14:14:00
task-133,proj-1,belongs_to,1.0,2025-01-04T14:15:00
task-134,proj-2,belongs_to,1.0,2025-01-04T14:16:00
task-135,proj-3,belongs_to,1.0,2025-01-04T14:17:00
task-136,proj-4,belongs_to,1.0,2025-01-04T14:18:00
task-137,proj-5,belongs_to,1.0,2025-01-04T14:19:00
task-138,proj-6,belongs_to,1.0,2025-01-04T14:20:00
task-139,proj-7,belongs_to,1.0,2025-01-04T14:21:00
task-140,proj-8,belongs_to,1.0,2025-01-04T14:22:00
task-141,proj-9,belongs_to,1.0,2025-01-04T14:23:00
task-142,proj-10,belongs_to,1.0,2025-01-04T14:24:00
task-143,proj-11,belongs_to,1.0,2025-01-04T14:25:00
task-144,proj-12,belongs_to,1.0,2025-01-04T14:26:00
task-145,proj-13,belongs_to,1.0,2025-01-04T14:27:00
task-146,proj-14,belongs_to,1.0,2025-01-04T14:28:00
task-147,proj-15,belongs_to,1.0,2025-01-04T14:29:00
task-148,proj-16,belongs_to,1.0,2025-01-04T14:30:00
task-149,proj-17,belongs_to,1.0,2025-01-04T14:31:00
task-150,proj-18,belongs_to,1.0,2025-01-04T14:32:00
task-151,proj-19,belongs_to,1.0,2025-01-04T14:33:00
task-152,proj-20,belongs_to,1.0,2025-01-04T14:34:00
task-153,proj-21,belongs_to,1.0,2025-01-04T14:35:00
task-154,proj-22,belongs_to,1.0,2025-01-04T14:36:00
task-155,proj-23,belongs_to,1.0,2025-01-04T14:37:00
task-156,proj-24,belongs_to,1.0,2025-01-04T14:38:00
task-157,proj-25,belongs_to,1.0,2025-01-04T14:39:00
task-158,proj-26,belongs_to,1.0,2025-01-04T14:40:00
task-159,proj-27,belongs_to,1.0,2025-01-04T14:41:00
task-160,proj-28,belongs_to,1.0,2025-01-04T14:42:00
task-161,proj-29,belongs_to,1.0,2025-01-04T14:43:00
task-162,proj-30,belongs_to,1.0,2025-01-04T14:44:00
task-163,proj-31,belongs_to,1.0,2025-01-04T14:45:00
task-164,proj-32,belongs_to,1.0,2025-01-04T14:46:00
task-165,proj-33,belongs_to,1.0,2025-01-04T14:47:00
task-166,proj-34,belongs_to,1.0,2025-01-04T14:48:00
task-167,proj-35,belongs_to,1.0,2025-01-04T14:49:00
task-168,proj-36,belongs_to,1.0,2025-01-04T14:50:00
task-169,proj-37,belongs_to,1.0,2025-01-04T14:51:00
task-170,proj-38,belongs_to,1.0,2025-01-04T14:52:00
task-171,proj-39,belongs_to,1.0,2025-01-04T14:53:00
task-172,proj-40,belongs_to,1.0,2025-01-04T14:54:00
task-173,proj-41,belongs_to,1.0,2025-01-04T14:55:00
task-174,proj-42,belongs_to,1.0,2025-01-04T14:56:00
task-175,proj-43,belongs_to,1.0,2025-01-04T14:57:00
task-176,proj-0,belongs_to,1.0,2025-01-04T14:58:00
task-177,proj-1,belongs_to,1.0,2025-01-04T14:59:00
task-178,proj-2,belongs_to,1.0,2025-01-04T15:00:00
task-179,proj-3,belongs_to,1.0,2025-01-04T15:01:00
task-180,proj-4,belongs_to,1.0,2025-01-04T15:02:00
task-181,proj-5,belongs_to,1.0,2025-01-04T15:03:00
task-182,proj-6,belongs_to,1.0,2025-01-04T15:04:00
task-183,proj-7,belongs_to,1.0,2025-01-04T15:05:00
task-184,proj-8,belongs_to,1.0,2025-01-04T15:06:00
task-185,proj-9,belongs_to,1.0,2025-01-04T15:07:00
task-186,proj-10,belongs_to,1.0,2025-01-04T15:08:00
task-187,proj-11,belongs_to,1.0,2025-01-04T15:09:00
task-188,proj-12,belongs_to,1.0,2025-01-04T15:10:00
task-189,proj-13,belongs_to,1.0,2025-01-04T15:11:00
task-190,proj-14,belongs_to,1.0,2025-01-04T15:12:00
task-191,proj-15,belongs_to,1.0,2025-01-04T15:13:00
task-192,proj-16,belongs_to,1.0,2025-01-04T15:14:00
task-193,proj-17,belongs_to,1.0,2025-01-04T15:15:00
task-194,proj-18,belongs_to,1.0,2025-01-04T15:16:00
task-195,proj-19,belongs_to,1.0,2025-01-04T15:17:00
task-196,proj-20,belongs_to,1.0,2025-01-04T15:18:00
task-197,proj-21,belongs_to,1.0,2025-01-04T15:19:00
task-198,proj-22,belongs_to,1.0,2025-01-04T15:20:00
task-199,proj-23,belongs_to,1.0,2025-01-04T15:21:00
task-200,proj-24,belongs_to,1.0,2025-01-04T15:22:00
task-201,proj-25,belongs_to,1.0,2025-01-04T15:23:00
task-202,proj-26,belongs_to,1.0,2025-01-04T15:24:00
task-203,proj-27,belongs_to,1.0,2025-01-04T15:25:00
task-204,proj-28,belongs_to,1.0,2025-01-04T15:26:00
task-205,proj-29,belongs_to,1.0,2025-01-04T15:27:00
task-206,proj-30,belongs_to,1.0,2025-01-04T15:28:00
task-207,proj-31,belongs_to,1.0,2025-01-04T15:29:00
task-208,proj-32,belongs_to,1.0,2025-01-04T15:30:00
task-209,proj-33,belongs_to,1.0,2025-01-04T15:31:00
task-210,proj-34,belongs_to,1.0,2025-01-04T15:32:00
task-211,proj-35,belongs_to,1.0,2025-01-04T15:33:00
task-212,proj-36,belongs_to,1.0,2025-01-04T15:34:00
task-213,proj-37,belongs_to,1.0,2025-01-04T15:35:00
task-214,proj-38,belongs_to,1.0,2025-01-04T15:36:00
task-215,proj-39,belongs_to,1.0,2025-01-04T15:37:00
task-216,proj-40,belongs_to,1.0,2025-01-04T15:38:00
task-217,proj-41,belongs_to,1.0,2025-01-04T15:39:00
task-218,proj-42,belongs_to,1.0,2025-01-04T15:40:00
task-219,proj-43,belongs_to,1.0,2025-01-04T15:41:00
task-220,proj-0,belongs_to,1.0,2025-01-04T15:42:00
task-221,proj-1,belongs_to,1.0,2025-01-04T15:43:00
task-222,proj-2,belongs_to,1.0,2025-01-04T15:44:00
task-223,proj-3,belongs_to,1.0,2025-01-04T15:45:00
task-224,proj-4,belongs_to,1.0,2025-01-04T15:46:00
task-225,proj-5,belongs_to,1.0,2025-01-04T15:47:00
task-226,proj-6,belongs_to,1.0,2025-01-04T15:48:00
task-227,proj-7,belongs_to,1.0,2025-01-04T15:49:00
task-228,proj-8,belongs_to,1.0,2025-01-04T15:50:00
task-229,proj-9,belongs_to,1.0,2025-01-04T15:51:00
task-230,proj-10,belongs_to,1.0,2025-01-04T15:52:00
task-231,proj-11,belongs_to,1.0,2025-01-04T15:53:00
task-232,proj-12,belongs_to,1.0,2025-01-04T15:54:00
task-233,proj-13,belongs_to,1.0,2025-01-04T15:55:00
task-234,proj-14,belongs_to,1.0,2025-01-04T15:56:00
task-235,proj-15,belongs_to,1.0,2025-01-04T15:57:00
task-236,proj-16,belongs_to,1.0,2025-01-04T15:58:00
task-237,proj-17,belongs_to,1.0,2025-01-04T15:59:00
task-238,proj-18,belongs_to,1.0,2025-01-04T16:00:00
task-239,proj-19,belongs_to,1.0,2025-01-04T16:01:00
task-240,proj-20,belongs_to,1.0,2025-01-04T16:02:00
task-241,proj-21,belongs_to,1.0,2025-01-04T16:03:00
task-242,proj-22,belongs_to,1.0,2025-01-04T16:04:00
task-243,proj-23,belongs_to,1.0,2025-01-04T16:05:00
task-244,proj-24,belongs_to,1.0,2025-01-04T16:06:00
proj-atlas,init-0,belongs_to,1.0,2025-01-06T14:02:00
person-0,proj-atlas,owns,1.0,2025-01-06T14:02:00
risk-0,proj-atlas,threatens,0.9,2025-01-06T14:03:00
task-atlas-blocker-1,proj-atlas,belongs_to,1.0,2025-01-06T14:13:00
task-atlas-blocker-1,proj-atlas,blocks,1.0,2025-01-06T14:13:00
task-atlas-blocker-2,proj-atlas,belongs_to,1.0,2025-01-06T14:14:00
task-atlas-blocker-2,task-atlas-blocker-1,blocks,1.0,2025-01-06T14:14:00
task-atlas-blocker-3,proj-atlas,belongs_to,1.0,2025-01-06T14:15:00
task-atlas-blocker-3,task-atlas-blocker-2,blocks,1.0,2025-01-06T14:15:00
task-atlas-blocker-4,proj-atlas,belongs_to,1.0,2025-01-06T14:16:00
task-atlas-blocker-4,task-atlas-blocker-3,blocks,1.0,2025-01-06T14:16:00
task-atlas-blocker-5,proj-atlas,belongs_to,1.0,2025-01-06T14:17:00
task-atlas-blocker-5,task-atlas-blocker-4,blocks,1.0,2025-01-06T14:17:00
proj-30,task-36,depends_on,0.77,2025-01-05T21:22:00
task-60,task-193,depends_on,0.84,2025-01-05T21:23:00
task-116,task-119,depends_on,0.99,2025-01-05T21:24:00
task-22,task-145,blocks,0.73,2025-01-05T21:25:00
task-18,task-194,depends_on,0.78,2025-01-05T21:26:00
task-5,task-28,blocks,0.72,2025-01-05T21:27:00
task-152,task-170,blocks,0.99,2025-01-05T21:28:00
task-37,task-123,depends_on,0.68,2025-01-05T21:29:00
task-37,task-211,depends_on,0.8,2025-01-05T21:30:00
task-113,task-210,blocks,0.64,2025-01-05T21:31:00
task-157,task-214,depends_on,0.99,2025-01-05T21:32:00
task-66,task-136,blocks,0.62,2025-01-05T21:33:00
task-196,task-209,depends_on,0.81,2025-01-05T21:34:00
task-11,task-176,blocks,0.95,2025-01-05T21:35:00
task-143,task-162,depends_on,0.62,2025-01-05T21:36:00
proj-26,task-243,blocks,0.75,2025-01-05T21:37:00
proj-37,task-103,depends_on,0.8,2025-01-05T21:38:00
task-99,task-237,blocks,0.65,2025-01-05T21:39:00
task-5,task-157,depends_on,0.92,2025-01-05T21:40:00
task-129,task-241,depends_on,0.9,2025-01-05T21:41:00
task-57,task-216,depends_on,0.8,2025-01-05T21:42:00
proj-19,proj-23,blocks,0.89,2025-01-05T21:43:00
task-198,task-221,depends_on,0.66,2025-01-05T21:44:00
task-27,task-219,depends_on,0.97,2025-01-05T21:45:00
task-39,task-119,depends_on,1.0,2025-01-05T21:46:00
task-109,task-128,depends_on,0.88,2025-01-05T21:47:00
task-109,task-199,blocks,0.75,2025-01-05T21:48:00
task-12,task-169,depends_on,0.92,2025-01-05T21:49:00
proj-13,task-198,depends_on,0.99,2025-01-05T21:50:00
proj-26,task-72,depends_on,0.67,2025-01-05T21:51:00
task-31,task-150,blocks,0.61,2025-01-05T21:52:00
task-12,task-53,blocks,0.78,2025-01-05T21:53:00
task-33,task-170,depends_on,0.88,2025-01-05T21:54:00
task-166,task-212,depends_on,0.95,2025-01-05T21:55:00
proj-31,task-26,blocks,0.82,2025-01-05T21:56:00
task-200,task-225,depends_on,0.73,2025-01-05T21:57:00
task-44,task-191,depends_on,0.82,2025-01-05T21:58:00
task-91,task-203,blocks,0.98,2025-01-05T21:59:00
task-98,task-241,depends_on,0.69,2025-01-05T22:00:00
task-103,task-108,blocks,0.88,2025-01-05T22:01:00
task-118,task-206,depends_on,0.74,2025-01-05T22:02:00
task-96,task-103,blocks,0.83,2025-01-05T22:03:00
task-150,task-234,depends_on,0.93,2025-01-05T22:04:00
task-30,task-104,blocks,0.72,2025-01-05T22:05:00
proj-40,task-133,depends_on,0.86,2025-01-05T22:06:00
task-65,task-201,blocks,0.93,2025-01-05T22:07:00
task-94,task-243,depends_on,0.65,2025-01-05T22:08:00
task-78,task-80,blocks,0.87,2025-01-05T22:09:00
task-71,task-227,blocks,0.62,2025-01-05T22:10:00
task-125,task-167,depends_on,0.64,2025-01-05T22:11:00
proj-2,task-26,blocks,0.76,2025-01-05T22:12:00
task-199,task-200,blocks,0.9,2025-01-05T22:13:00
task-103,task-120,depends_on,0.86,2025-01-05T22:14:00
task-1,task-74,blocks,0.97,2025-01-05T22:15:00
task-45,task-169,blocks,0.97,2025-01-05T22:16:00
proj-18,task-159,depends_on,0.67,2025-01-05T22:17:00
proj-19,task-104,blocks,0.72,2025-01-05T22:18:00
task-10,task-127,depends_on,0.78,2025-01-05T22:19:00
task-224,task-234,depends_on,0.96,2025-01-05T22:20:00
task-24,task-214,depends_on,0.71,2025-01-05T22:21:00
task-13,task-125,blocks,0.89,2025-01-05T22:22:00
